synset	word	csco
00836705-v	desfigurar	49.0
00836705-v	desvirtuar	99.0
00836705-v	contradecir	99.0
01337224-v	encapuchar	49.0
09896685-n	ebanista	59.0
09896685-n	carpintero	79.0
09896685-n	madedero	49.0
14585519-n	miaja	99.0
14585519-n	pellizco	49.0
14585519-n	partícula	99.0
14585519-n	menudencia	49.0
14585519-n	pizca	99.0
14585519-n	insignificancia	49.0
05938400-n	arquetipo	89.0
00619142-n	cálculo_de_costes	59.0
00619142-n	evaluación_de_costes	99.0
08560027-n	basurero	69.0
08560027-n	vertedero	49.0
08560027-n	escombrera	49.0
07453063-n	ceremonia_militar	49.0
02743207-n	maestranza	49.0
02743207-n	arsenal	99.0
02470518-v	andar	99.0
06217806-n	extremismo	99.0
00111415-a	analítico	49.0
07424109-n	revolución	99.0
00754393-a	constante	99.0
00754393-a	persistente	99.0
00754393-a	perseverante	49.0
00754393-a	tenaz	99.0
00754393-a	asíduo	49.0
07761141-n	chirimoya	49.0
09392824-n	Piscis	49.0
01734436-a	paterno	59.0
01734436-a	paternal	59.0
00316390-v	insonorizar	99.0
00316390-v	ensordecer	49.0
00316390-v	asordar	49.0
01464844-n	yema	49.0
01714985-a	delineado	99.0
01714985-a	delinear	99.0
01714985-a	representado	99.0
01714985-a	perfilado	49.0
06263609-n	medio_de_comunicación_escrito	35.0
00428067-v	protegerse	99.0
00428067-v	equilibrar_riesgos	99.0
10511239-n	reincidente	49.0
04908396-n	voluntarismo	59.0
04908396-n	voluntariedad	49.0
07381100-n	clo	99.0
07381100-n	cloqueo	59.0
09464335-n	Cataratas_Twin	49.0
09464335-n	Twin_Falls	99.0
06906439-n	amerindio	49.0
06906439-n	lengua_amerindia	49.0
06331477-n	doble_verbo_transitivo	99.0
07783827-n	pasta_de_anchovas	49.0
09655891-n	halchidhoma	99.0
00103317-v	enrojecer	99.0
00103317-v	ruborizarse	49.0
00103317-v	arrebolar	49.0
00103317-v	sonrojarse	49.0
00103317-v	rosarse	49.0
00103317-v	sonrosarse	49.0
07517417-n	enfurecimiento	49.0
01184261-a	acéfalo	49.0
03475118-n	Santa_Sofía	99.0
00209073-r	de_forma_poco_imaginativa	35.0
02390454-n	asno_salvaje	49.0
14897083-n	bálsamo_de_Galaad	99.0
04891683-n	estupidez	49.0
04891683-n	desatino	99.0
04891683-n	fatuidad	99.0
04891683-n	majadería	99.0
04891683-n	absurdidad	49.0
04891683-n	ridiculez	99.0
08966820-n	Mauritania	69.0
00589691-n	califato	49.0
04831437-n	inexorabilidad	49.0
07682197-n	croûton	99.0
01507992-a	mortal	99.0
13801217-n	aposición	69.0
08752293-n	capital_de_la_República_Dominicana	35.0
08752293-n	Santo_Domingo	99.0
05600637-n	faz	99.0
05600637-n	rostro_humano	99.0
05600637-n	cara	99.0
06908700-n	cheyén	49.0
06908700-n	cheyenne	49.0
01116380-a	falseado	99.0
01116380-a	falso	99.0
01116380-a	contrahecho	59.0
01116380-a	imitado	99.0
01116380-a	falsificado	99.0
01116380-a	imitativo	99.0
06405423-n	endoso_en_blanco	99.0
15026155-n	glutelina	99.0
02783329-a	preanal	99.0
01034153-a	connatural	49.0
01034153-a	innato	99.0
02081006-v	peregrinar	49.0
03638623-n	barcaza_de_desembarco	49.0
12499163-n	sen	49.0
01353773-n	Aerobacter	99.0
01353773-n	aerobacter	49.0
01353773-n	género_Aerobacter	99.0
01353773-n	genus_aerobacter	49.0
00426958-v	desaparecer	99.0
00426958-v	esfumarse	99.0
00426958-v	desvancerse	99.0
00426958-v	disiparse	99.0
14902500-n	resina_alquídica	59.0
15183802-n	fiesta_religiosa	49.0
13622035-n	cuarto_de_galón	49.0
02625132-n	género_Acanthocybium	99.0
02625132-n	acanthocybium	49.0
02625132-n	Acanthocybium	99.0
02625132-n	genus_acanthocybium	49.0
02508766-a	ventilado	59.0
12305986-n	fraxinus_texensis	99.0
12305986-n	serbal_de_cazadores	99.0
02691028-a	chancroidal	49.0
13427789-n	adsorción	89.0
02014387-a	avivado	99.0
02014387-a	despierto	99.0
02014387-a	excitado	99.0
02014387-a	despertado	99.0
00564504-a	adversativo	49.0
01089775-a	temporal	99.0
01089775-a	irregular	99.0
01608706-v	desmantelar	49.0
01608706-v	desmontar	49.0
01608706-v	desnudar	99.0
01608706-v	limpiar	99.0
01608706-v	quitar	99.0
13524295-n	oliguria	99.0
00054908-a	no_adhesivo	99.0
07145508-n	sesión	99.0
03469832-n	artillería	49.0
03469832-n	armamento	99.0
02029944-v	disolverse	49.0
10708797-n	pelleja	49.0
07486922-n	ansia	99.0
01016201-n	recogida	49.0
03148920-n	bordillo	79.0
02535716-v	romper_con	49.0
02535716-v	abandonar	99.0
03708843-n	magnetómetro	99.0
02666347-n	ábaco	49.0
02070188-a	otro	49.0
04878101-n	nacionalismo	99.0
04878101-n	patriotismo	79.0
04247736-n	self-service	99.0
04247736-n	bar	99.0
04247736-n	bufé	49.0
04247736-n	cafetería	99.0
01373303-v	velar	99.0
01373303-v	empañar	49.0
02928299-n	bisagra_plana	99.0
02156546-v	desvanecerse	49.0
02156546-v	disiparse	49.0
01136248-a	gruñón	59.0
01136248-a	hosco	49.0
01136248-a	refunfuñón	49.0
01136248-a	malhumorado	59.0
01136248-a	cascarrabias	49.0
11744859-n	plantas	99.0
06356299-n	argumento	99.0
06356299-n	parámetro	99.0
15169421-n	anochecer	99.0
15169421-n	anochecido	49.0
15169421-n	atardecida	49.0
15169421-n	anochecida	99.0
15169421-n	crepúsculo	99.0
11179797-n	Edna_Millay	99.0
11179797-n	Edna_Saint_Vincent_Millay	80.0
11179797-n	Millay	99.0
00249313-v	retrogradar	99.0
00249313-v	sufrir_una_regresión	49.0
00249313-v	recalcitrar	99.0
00249313-v	retroceder	99.0
08246613-n	grupo_musical	49.0
01342572-a	inquisitivo	49.0
01342572-a	curioso	99.0
00322457-a	causativo	59.0
07672914-n	margarina	69.0
15041688-n	gel_de_sílice	59.0
06758584-n	verdad_a_medias	59.0
02263346-v	conceder	99.0
02263346-v	conferir	99.0
02263346-v	otorgar	99.0
04508489-n	calzoncillo	99.0
03061250-a	interdisciplinario	79.0
02529945-a	fresco	99.0
00617413-v	desestimar	49.0
00617413-v	desairar	59.0
10386984-n	jardinero	99.0
10386984-n	outfielder	49.0
07807834-n	ensalada_de_pasta	49.0
07972425-n	feudalismo	79.0
00286360-n	esquivada	49.0
00286360-n	quite	49.0
00040545-n	fertilización_cruzada	99.0
00967646-a	fantástico	99.0
00967646-a	grotesco	99.0
07084166-n	entonación	59.0
02870846-a	seráfico	49.0
06490887-n	enumeración	49.0
02993094-a	futurista	99.0
01268571-v	aceitar	49.0
01941274-a	vivo	99.0
09441587-n	Pacífico_del_Sur	99.0
