synset	word	csco
03660664-n	biblioteca	55.0
10393909-n	pintor	55.0
02486822-v	reunir	55.0
07496755-n	angústia	55.0
10073634-n	exportador	55.0
08499840-n	colónia	55.0
08499840-n	domínio	55.0
08499840-n	colônia	55.0
08499840-n	província	55.0
01968569-v	ascender	55.0
01968569-v	subir	55.0
01968569-v	elevar	2.2409
01011973-a	inicial	55.0
02829422-a	legislativo	55.0
01189282-n	condenação	55.0
06532763-n	nulidade	55.0
07902799-n	aquavit	2.1651
07902799-n	akvavit	55.0
00171852-v	desenvolver	55.0
15212455-n	agosto	55.0
14952122-n	metilo	2.3501
00080304-v	atender	55.0
00370869-a	azul	55.0
00270699-v	oscilar	55.0
00270699-v	variar	2.3406
07923748-n	suco	55.0
07923748-n	sumo	55.0
02602261-a	adolescente	2.2211
09280380-n	firth	55.0
00094893-r	contra_vento	55.0
02217452-a	duplo	55.0
01233387-v	manchar	55.0
01791756-v	desviar	2.1661
01791756-v	distrair	2.1511
00315605-v	apreciar	2.3565
02381726-v	adoptar	55.0
02381726-v	tomar	55.0
02381726-v	assumir	55.0
07365849-n	paragem	55.0
02765656-n	azitromicina	55.0
00446493-n	combate	55.0
00446493-n	luta	55.0
07163988-n	sopro	55.0
00010047-r	imperfeitamente	2.3185
00173761-n	ferramenta	55.0
00173761-n	instrumento	55.0
01423302-n	eimeria	55.0
01302854-v	rodear	55.0
10502950-n	racista	55.0
05059132-n	rapidez	55.0
10212780-n	intérprete	55.0
02085740-a	religioso	55.0
02400037-v	favorecer	55.0
02400037-v	preferir	55.0
02898711-n	ponte	55.0
01560984-v	cortar	55.0
06326526-n	número	55.0
00102420-v	embarrar	55.0
00833199-v	informar	55.0
09906538-n	herói	2.3042
01689169-v	recomendar	55.0
01689169-v	confiar	55.0
01689169-v	encomendar	55.0
05922949-n	extensão	2.3444
05922949-n	referência	55.0
01423851-a	habitável	55.0
15017604-n	cloreto	55.0
06264398-n	correio	55.0
04426788-n	fio	55.0
02119241-v	ignorar	55.0
04806655-n	distinção	55.0
07210801-n	reivindicação	55.0
05814162-n	universo	55.0
01016002-v	afirmar	55.0
01016002-v	dizer	55.0
01016002-v	alegar	55.0
01016002-v	declarar	55.0
14681555-n	mica	55.0
06732581-n	confirmação	2.3348
03073751-a	hidráulico	55.0
05692910-n	influência	55.0
04775562-n	instabilidade	55.0
10462860-n	praticante	55.0
04634833-n	alma	55.0
04634833-n	energia	55.0
00748084-v	picar	55.0
14808418-n	acetilcolina	55.0
01654377-a	aberto	55.0
00026294-a	formação_de_base	55.0
00549217-v	esclarecer	2.0282
14496193-n	limpeza	55.0
00382635-v	transformar	55.0
02637592-v	permanecer	2.1299
02450512-a	tóxico	55.0
05734477-n	autocrítica	55.0
13749407-n	trinta	55.0
00409440-a	obscuro	2.1471
00409440-a	escuro	55.0
05601198-n	rosto	2.1867
05601198-n	cara	55.0
05601198-n	face	2.2832
07217924-n	relação	55.0
07217924-n	relatório	55.0
05127782-n	âmbito	55.0
05127782-n	campo	55.0
05127782-n	horizonte	55.0
04010927-n	ponta	55.0
01159907-a	inocente	55.0
14730955-n	medicamento	2.0
00022962-a	direto	55.0
06655388-n	preceito	55.0
06655388-n	princípio	55.0
01279611-a	grave	2.2132
01279611-a	sério	55.0
00810557-v	escapar	55.0
07520507-n	histeria	55.0
04536335-n	viola	55.0
05959082-n	ascetismo	2.3184
05133535-n	extensão	2.3444
05133535-n	longitude	55.0
06256697-n	página	55.0
08057206-n	agência	55.0
01854888-v	aspirar	2.3964
04164989-n	secção	55.0
04164989-n	parte	55.0
04164989-n	seção	55.0
00009618-a	ascética	55.0
01219373-a	alpino	2.3309
00109660-v	mudar	2.2061
00109660-v	alterar	2.1937
15061171-n	estreptoquinase	55.0
14752702-n	cortisol	55.0
14752702-n	hidrocortisona	55.0
14544672-n	tom	2.2777
14544672-n	tónus	2.1262
