synset	word	csco
01373303-v	velar	99.0
01373303-v	entelar	99.0
01373303-v	enllorar	99.0
02156546-v	esfumar-se	99.0
02156546-v	dissipar-se	99.0
02156546-v	desaparèixer	99.0
02156546-v	dissipar	99.0
02156546-v	esvair-se	99.0
01136248-a	rondinador	99.0
01136248-a	butzinaire	99.0
01136248-a	malhumorat	99.0
01136248-a	esquerp	99.0
01136248-a	malhumorós	99.0
01136248-a	rondinaire	99.0
11744859-n	plantes	99.0
06356299-n	paràmetre	99.0
06356299-n	argument	99.0
15169421-n	capvespre	99.0
15169421-n	crepuscle_vespertí	99.0
15169421-n	crepuscle	99.0
15169421-n	vespre	99.0
00249313-v	retrocedir	99.0
00322457-a	causatiu	99.0
07672914-n	margarina	99.0
06758584-n	mitja_veritat	99.0
06758584-n	veritat_a_mitges	99.0
02263346-v	atorgar	99.0
02263346-v	concedir	99.0
11058436-n	Joseph_Hooker	99.0
04378489-n	tabard	99.0
00617413-v	desestimar	99.0
00617413-v	desatendre	99.0
07972425-n	feudalisme	99.0
00286360-n	esquivada	99.0
00040545-n	fertilització_creuada	99.0
07084166-n	entonació	99.0
05980256-n	ateisme	99.0
01268571-v	oliar	99.0
01941274-a	vivent	99.0
01941274-a	viu	99.0
02763824-a	meridional	99.0
06636806-n	format	99.0
00267681-v	minvar	99.0
01891773-a	presumptuós	99.0
01891773-a	envanit	99.0
01891773-a	vanitós	99.0
01891773-a	fatu	99.0
07051851-n	cançó_de_bressol	99.0
02344060-v	pagar	99.0
02344060-v	reemborsar	99.0
02344060-v	reembossar	99.0
02344060-v	tornar	99.0
02344060-v	retornar	99.0
02344060-v	compensar	99.0
02344060-v	rescabalar	99.0
02617402-n	genus_zoarces	99.0
02617402-n	zoarces	99.0
14361182-n	torticoli	99.0
00405554-a	decolorat	99.0
00405554-a	etiolat	99.0
06606191-n	matís	99.0
07639069-n	donut	99.0
05259823-n	cua	99.0
07091587-n	abreviatura	99.0
07713074-n	albergínia	99.0
13685096-n	unitat_monetària_de_Sierra_Leona	80.0
15221818-n	solstici	99.0
06188721-n	bizantinisme	99.0
09884509-n	reboster	99.0
09884509-n	mestre-sala	99.0
01173656-v	pessigar	99.0
01173656-v	picar	99.0
05006898-n	sexualitat	99.0
05006898-n	sexe	99.0
11620912-n	avet	99.0
02758753-n	accessoris	99.0
12754781-n	norway_maple	99.0
12754781-n	acer_platanoides	99.0
01535310-n	zonotrichia	99.0
01535310-n	genus_zonotrichia	99.0
09233715-n	cap	99.0
00549236-a	prolix	99.0
00549236-a	verbós	99.0
00971999-v	dictaminar	99.0
01907287-n	coanòcit	99.0
08766236-n	capital_de_Suècia	99.0
08766236-n	Estocolm	99.0
00669099-v	consentir	99.0
00669099-v	permetre	99.0
08358332-n	trobada_multitudinària	99.0
06733939-n	evidència	99.0
00053609-n	desaparició	99.0
06621771-n	episodi	99.0
10525617-n	retirat	99.0
10525617-n	jubilat	99.0
07386194-n	toc_de_mort	99.0
12005500-n	genus_pulicaria	99.0
12005500-n	pulicaria	99.0
10531109-n	factòtum	99.0
10531109-n	mà_dreta	99.0
04600912-n	roba_de_feina	99.0
02065599-n	genus_megaptera	99.0
02065599-n	megaptera	99.0
01336635-v	cobrir	99.0
02650928-n	prionotus	99.0
02650928-n	genus_prionotus	99.0
09166902-n	Silicon_Valley	99.0
07196075-n	entrevista	99.0
09031653-n	Suïssa	99.0
00463543-n	hoquei	99.0
11525779-n	remolí_de_vent	99.0
11525779-n	mànega	99.0
11525779-n	remolí	99.0
10838484-n	Charles_Pierre_Baudelaire	99.0
10838484-n	Charles_Baudelaire	99.0
08789970-n	Tessàlia	99.0
00234106-a	unidireccional	99.0
13899735-n	esfèrula	99.0
11512650-n	conducció_elèctrica	99.0
08407839-n	exposició_d'art	99.0
08407839-n	exhibició_d'art	99.0
01282022-n	Iwo_Jima	99.0
