synset	word	csco
07289014-n	arazo	99.0
80000565-n	suszeptibilitate_magnetiko	99.0
00775286-n	harrapaketa	99.0
07996598-n	untxitegi	99.0
03046802-n	pendulu-erloju	89.0
03069567-n	erakusgai	99.0
80000243-n	egitura_elektroniko	99.0
80000243-n	elektroi-egitura	99.0
08387213-n	aristokrazia	99.0
08087981-n	Eliza_anglikano	99.0
06309383-n	kategoria	99.0
06309383-n	kategoria_gramatikal	99.0
06309383-n	kategoria_sintaktiko	99.0
06309383-n	gramatika-kategoria	99.0
06309383-n	sintaxi-kategoria	99.0
10191192-n	humanista	99.0
02317335-n	itsas_izar	99.0
80000098-n	bertsolari	99.0
10809223-n	Esopo	99.0
09860506-n	ilehori	99.0
09860506-n	horail	99.0
04367371-n	puntu	99.0
05641834-n	izaera_polifazetiko	99.0
08732116-n	Kolonbia	99.0
09243769-n	zirrikitu	99.0
09243769-n	pitzadura	99.0
02235229-v	amore_eman	99.0
02235229-v	etsi	99.0
02235229-v	entregatu	99.0
02235229-v	eman	99.0
80000325-n	tratamendu_sintomatiko	99.0
06877509-n	begitarte	99.0
13273836-n	dibidendu	99.0
04722910-n	eskuraezintasun	99.0
12724942-n	sahats	99.0
13388245-n	peza	99.0
13388245-n	txanpon	99.0
13388245-n	pieza	99.0
13388245-n	diru	99.0
13827103-n	morbositate	62.0
08518940-n	arro	62.0
13762579-n	pauso	99.0
13762579-n	urrats	99.0
07885937-n	dastatze	99.0
07885937-n	hartze	99.0
03626272-n	kirten	99.0
03626272-n	helduleku	99.0
03626272-n	eskutoki	99.0
02016062-v	jaitsi	99.0
02979290-n	kasete-magnetofono	99.0
07041595-n	trio	99.0
04044498-n	haririk_gabeko_telefono	99.0
04044498-n	irrati-telefono	99.0
05098099-n	mutur	99.0
06200344-n	zaletasun_bizi	49.0
06200344-n	maitasun_bizi	49.0
06200344-n	maitasun	99.0
06200344-n	zaletasun	99.0
04625716-n	urduritasun	99.0
05782140-n	disekzio	99.0
08251303-n	konfederazio	99.0
11727358-n	atxapar	99.0
11727358-n	sasiama	99.0
06469694-n	eskema	99.0
06469694-n	laburpen	99.0
